Title	Address	Phone	Categories
Roundabout Inn The	Annabella Mallow   P51RD70 Co. Cork	(022)21815	{'Accommodation &amp; Booking Agencies', 'B&amp;B'}
Courtenay Andrew	lr Ballyviniter Mallow    Co. Cork	(022)21688	{'Accommodation &amp; Booking Agencies', 'B&amp;B'}
Park South	Doneraile Mallow    Co. Cork	(022)25296	{'Accommodation &amp; Booking Agencies', 'B&amp;B'}
Corlaoí House B/B	Baltydaniel West  Mallow   Co. Cork	(022)20107	{'Accommodation &amp; Booking Agencies', 'B&amp;B'}
Annabella Lodge	Annabella Mallow    Co. Cork	(022)43991	{'Accommodation &amp; Booking Agencies', 'B&amp;B'}
Oaklands	Springwood Off Killarney rd Mallow  P51Y288 Co. Cork	(022)21127	{'Accommodation &amp; Booking Agencies', 'B&amp;B'}
Palmers B&B	Newtwopothouse Mallow   Co. Cork	(022)22953	{'Accommodation &amp; Booking Agencies', 'B&amp;B'}
permanent tsb	Services This Area	(022)22803	{'B&amp;B'}
Linehan Diarmuid B.D.S. N.U.I.	12 12, Deal Yard lane Mallow, Co. Cork	(022)20680	{'B&amp;B'}
Danny McAuliffe B.Sc	140 Bank place Mallow  P51 AH7A Co. Cork	(022)42330	{'B&amp;B'}
O'Sullivan Breda Dip. M.N.H.I.I. M.A.I.R. M.B.C.M.A. N.R.R.I.	Natural Therapy Centre Two Pot House    Co. Cork	(022)51595	{'B&amp;B'}
M.B.E. (Mallow) Ltd	Quartertown Ind Est Mallow   Co. Cork	(022)22833	{'B&amp;B'}
Lynch John B	West Lynn West End Mallow    Co. Cork	(022)21337	{'B&amp;B'}
Acorn Veterinary Clinic Noel Ahern M.V.B, M.R.C.V.S & Associates	Old Cork Road, Mallow   Co. Cork	(022)43862	{'B&amp;B'}
Lyons Fergus B.Sc. D.H.P. M.I.C.H.P.	Banteer Mallow Co Cork    Co. Cork	(086)2460465	{'B&amp;B'}
M.B.E. (Mallow Ltd)	Quartertown Ind Est Mallow   Co. Cork	(022)22833	{'B&amp;B'}
B & N Breaker Services	Blossomfort Ballyclough Mallow    Co. Cork	(022)27807	{'B&amp;B'}
Corktowns.com	U 2A The Shopping Centre 126 Main Street Mallow  Co. Cork	(022)55002	{'Advertising Agencies'}
Donlouco	Blackwater House Mallow Business Park Goulds Hill Mallow   Co. Cork	(022)57622	{'Electronic Equipment'}
SCS Express Industrial Electronics Repair	Altamira Liscarroll Mallow   Co. Cork	(022)48577	{'Electronic Equipment'}
Donovan Marian	3 Chapel Lane, Co. Cork	(022)42413	{'GPS'}
Medical Centre	Mallow Primary Healthcare Centre Mallow Business Park Gould's Hill Mallow P51 Y8EC Co. Cork	(022)21551	{'GPS'}
Heffernan Dr	Cork rd Clinic Mallow   Co. Cork	(022)21579	{'GPS'}
Christopher Dr Wm	Westend Mallow    Co. Cork	(022)21508	{'GPS'}
Heffernan Dr Anthony	Old Cork rd Mallow   Co. Cork	(022)21579	{'GPS'}
Bourke Dr John	Liscarroll Mallow Co Cork    Co. Cork	(022)48340	{'GPS'}
Goodall, Dr Vanessa	The Red House Family Practice  Mallow   Co. Cork	(022)21478	{'GPS'}
Brennan Dr Kevin MRCGP	The Red House Family Practice  Mallow   Co. Cork	(022)21478	{'GPS'}
Kelleher Dr Catherine	The Surgery Newtwopot Hse Mallow   Co. Cork	(022)43406	{'GPS'}
Hyde Dr Betty	Cork rd Clinic Cork rd Mallow   Co. Cork	(022)21579	{'GPS'}
Brosnan Dr Eibhlis	Medical Ctr The Laurels Castlepark Mallow  P51TK53 Co. Cork	(022)20134	{'GPS'}
O'Flynn Dr Mary	Medical cntr Carmichael st Mallow   Co. Cork	(022)51992	{'GPS'}
Molony Dr David	The Red House Family Practice  Mallow   Co. Cork	(022)21478	{'GPS'}
Longueville House	Mallow Co Cork  P51KC8K Co. Cork	(022)47156	{'Accommodation &amp; Booking Agencies'}
Springfort Hall Hotel	Mallow  P51YP96 Co. Cork	(022)21278	{'Accommodation &amp; Booking Agencies'}
Hibernian Hotel & Leisure Centre	Main st Mallow   Co. Cork	(022)58200	{'Accommodation &amp; Booking Agencies'}
Nazareth House	Dromhane Mallow    Co. Cork	(022)21561	{'Accommodation &amp; Booking Agencies'}
IPP Ltd	Carrigoon Mallow Co Cork  Co. Cork	(022)43993	{'Recycling &amp; Recycling Equipment'}
Country Clean Recycling	Shanballymore Mallow    Co. Cork	(022)46848	{'Recycling &amp; Recycling Equipment'}
Griffin Richd	Carrig Demesne Mallow    Co. Cork	(022)26119	{'Recycling &amp; Recycling Equipment'}
Munster Waste Management	Spa rd Mallow  P51PF63 Co. Cork	(022)42124	{'Recycling &amp; Recycling Equipment'}
Country Clean Recycling Ltd	Shanballymore Mallow Co. Cork	(022)46848	{'Recycling &amp; Recycling Equipment'}
Cork County Council - Recycling / Civic Amenity	Services This Area	(022)50830	{'Recycling &amp; Recycling Equipment'}
Mallow Contracts LTD	The Island  Burnfort  Co. Cork	(086) 303 0915	{'Recycling &amp; Recycling Equipment'}
Office Of Public Works - National Monuments	Services This Area	(022)42278	{'Office of Public Works'}
Munster Labels Ltd	Quartertown Ind Est Mallow  P51W7VH Co. Cork	(022)42640	{'Labels'}
Pharmacy First Plus Grenagh	Grenagh Commercial Centre  Grenagh Cork  Co. Cork	(021)4629918	{'Passport Photographs'}
Pat Enright Glass & Glazing	Ballydaheen Ind Est Mallow   Co. Cork	(022)50450	{'Glass &amp; Glazers'}
Mallow Windscreen Centre	Lr Bearforest, Co. Cork	(022)43217	{'Glass &amp; Glazers'}
Your Chimney Sweep		(022) 22929	{'Glass &amp; Glazers'}
Gallagher Glass Fibre Products	Quartertown Ind Est Mallow   Co. Cork	(022)21933	{'Glass &amp; Glazers'}
Ildanach Studio	Stakehill Boherbue Mallow   Co. Cork	(029)76175	{'Glass &amp; Glazers'}
The Go2Guy	6 Elm Court, Fair street, Mallow   Co. Cork	(022)57795	{'Glass &amp; Glazers'}
OSN Green Consultants	Toureen South Burnfort Mallow Cork   Co. Cork	(087)6177222	{'Water and Wind Power Equipment'}
West Coast Cruising School	Cork   Co. Cork	(087)2351976	{'Sailing Schools'}
O'Connor Architectural Design & Planning		(022) 53520	{'Design and Development Engineers'}
